price,propertyType,size,exterior,rooms,bathrooms,address,province,municipality,latitude,longitude,status,newDevelopment,hasLift,priceByArea,hasParkingSpace,isParkingSpaceIncludedInPrice,parkingSpacePrice,groupDescription,typology,subTypology
239000.0,flat,95.0,True,3,1,Plaza del Peñón,Madrid,Alcorcón,40.348761,-3.8204629,good,False,True,2516.0,True,True,,Destacado,flat,standardFlat
124000.0,flat,64.0,False,2,1,Calle Perate,Madrid,Getafe,40.3005191,-3.7293161,good,False,False,1938.0,False,False,,,flat,standardFlat
210000.0,flat,81.0,True,3,2,Calle Sinfonía,Madrid,Madrid,40.3713,-3.771505,good,False,True,2593.0,False,False,,Destacado,flat,standardFlat
370000.0,penthouse,99.0,True,2,2,Calle Escaño,Madrid,Getafe,40.3051271,-3.724643,good,False,True,3737.0,True,True,,Destacado,flat,penthouse
465500.0,chalet,230.0,False,3,3,Avenida de las Flores,Madrid,Alcorcón,40.3601133,-3.8089839,good,False,False,2024.0,False,False,,Destacado,chalet,independantHouse
259000.0,flat,83.0,True,3,2,Calle María la Judía,Madrid,Getafe,40.3216618,-3.7160616,good,False,True,3120.0,True,True,,,flat,standardFlat
150000.0,flat,76.0,True,3,1,Avenida Juan de la Cierva,Madrid,Getafe,40.3068883,-3.7231732,good,False,True,1974.0,True,True,,,flat,standardFlat
270000.0,flat,109.0,True,5,4,barrio Parque Lisboa - La Paz,Madrid,Alcorcón,40.3503638,-3.8194067,good,False,True,2477.0,True,True,,Destacado,flat,standardFlat
229900.0,flat,84.0,True,3,2,Calle Sierra de Alcubierre,Madrid,Alcorcón,40.3441407,-3.8233682,good,False,True,2737.0,False,False,,Destacado,flat,standardFlat
146800.0,flat,75.0,False,1,1,Calle Valdemoro,Madrid,Getafe,40.3003863,-3.7293317,good,False,False,1957.0,False,False,,,flat,standardFlat
154000.0,flat,70.0,True,3,1,barrio Zona Centro Joven,Madrid,Alcorcón,40.3481815,-3.8210172,good,False,True,2200.0,False,False,,Destacado,flat,standardFlat
146050.0,flat,74.0,True,4,1,Av. de las Ciudades,Madrid,Getafe,40.3148307,-3.718255,good,False,False,1974.0,False,False,,,flat,standardFlat
239000.0,flat,83.0,True,2,1,Plaza del Sol,Madrid,Alcorcón,40.3418063,-3.8244963,good,False,True,2880.0,False,False,,,flat,standardFlat
195000.0,flat,85.0,True,3,2,Plaza de la Albufera,Madrid,Fuenlabrada,40.2887548,-3.7909506,good,False,True,2294.0,False,False,,Destacado,flat,standardFlat
374000.0,flat,160.0,True,3,2,La Serna,Madrid,Fuenlabrada,40.2943322,-3.8044174,good,False,True,2338.0,False,False,,Destacado,flat,standardFlat
345000.0,flat,100.0,True,3,2,Camino de las Cruces,Madrid,Madrid,40.3701145,-3.7572668,good,False,True,3450.0,True,True,,,flat,standardFlat
170000.0,flat,84.0,True,3,1,Calle de Galicia,Madrid,Fuenlabrada,40.2989013,-3.8115583,renew,False,True,2024.0,False,False,,,flat,standardFlat
320000.0,flat,136.0,True,3,2,Calle San Pedro,Madrid,Alcorcón,40.3430107,-3.8241799,good,False,False,2353.0,False,False,,Destacado,flat,standardFlat
110000.0,flat,62.0,True,3,1,barrio Zona Centro Joven,Madrid,Alcorcón,40.3467135,-3.8222085,good,False,False,1774.0,False,False,,Destacado,flat,standardFlat
420000.0,chalet,200.0,False,5,4,Sector 3,Madrid,Getafe,40.2943665,-3.7375711,good,False,False,2100.0,True,True,,Destacado,chalet,terracedHouse
169900.0,flat,90.0,True,3,1,La Serna,Madrid,Fuenlabrada,40.2930003,-3.8022991,good,False,False,1888.0,False,False,,Top,flat,standardFlat
125600.0,flat,78.0,False,3,1,Calle de Honduras,Madrid,Fuenlabrada,40.289181,-3.7929683,good,False,False,1610.0,False,False,,Destacado,flat,standardFlat
191000.0,flat,94.0,True,3,1,barrio Zona Centro Joven,Madrid,Alcorcón,40.3490563,-3.8207084,renew,False,True,2032.0,False,False,,,flat,standardFlat
179200.0,flat,84.0,True,4,1,Juan de la Cierva,Madrid,Getafe,40.3139845,-3.7183769,renew,False,True,2133.0,False,False,,,flat,standardFlat
265000.0,duplex,126.0,True,4,2,Calle valencia,Madrid,Fuenlabrada,40.2892612,-3.793277,good,False,True,2103.0,True,True,,,flat,duplex
130000.0,flat,77.0,False,3,1,San Isidro,Madrid,Getafe,40.2989433,-3.730704,good,False,False,1688.0,False,False,,,flat,standardFlat
293000.0,flat,105.0,True,4,2,Calle Porto Cristo,Madrid,Alcorcón,40.3521186,-3.8183562,good,False,True,2790.0,False,False,,Top,flat,standardFlat
108500.0,flat,49.0,True,2,1,Calle Tarragona,Madrid,Getafe,40.3119625,-3.7193783,good,False,False,2214.0,False,False,,Top,flat,standardFlat
128000.0,flat,50.0,True,2,1,Calle Valencia,Madrid,Getafe,40.3150351,-3.7178208,good,False,False,2560.0,False,False,,,flat,standardFlat
154500.0,flat,79.0,False,3,1,San Isidro,Madrid,Getafe,40.3004071,-3.7288541,renew,False,True,1956.0,False,False,,,flat,standardFlat
210000.0,flat,82.0,True,3,1,Calle Porto Alegre,Madrid,Alcorcón,40.3528881,-3.8177387,good,False,True,2561.0,False,False,,Destacado,flat,standardFlat
139000.0,flat,74.0,True,3,1,barrio Villaverde Alto,Madrid,Madrid,40.3413575,-3.7173496,renew,False,False,1878.0,False,False,,,flat,standardFlat
127000.0,flat,85.0,True,2,3,Calle San Olegario,Madrid,Madrid,40.3706147,-3.7587979,good,False,False,1494.0,False,False,,,flat,standardFlat
140000.0,flat,65.0,True,3,1,"Calle SAN JUAN, 13",Madrid,Alcorcón,40.3441349,-3.8238096,good,False,True,2154.0,False,False,,,flat,standardFlat
130500.0,flat,65.0,True,2,1,Santo Domingo,Madrid,Alcorcón,40.3436368,-3.8240728,good,False,True,2008.0,False,False,,,flat,standardFlat
136900.0,flat,80.0,True,3,1,La Avanzada - La Cueva,Madrid,Fuenlabrada,40.2873157,-3.7864324,renew,False,True,1711.0,False,False,,,flat,standardFlat
179900.0,flat,80.0,True,3,1,El Naranjo,Madrid,Fuenlabrada,40.2988672,-3.8118889,good,False,True,2249.0,False,False,,,flat,standardFlat
265000.0,flat,107.0,True,4,2,Calle Porto Lagos,Madrid,Alcorcón,40.3514607,-3.8191372,good,False,True,2477.0,False,False,,Destacado,flat,standardFlat
175000.0,flat,76.0,True,3,1,Calle Alfonso Fernández,Madrid,Madrid,40.3699525,-3.7550459,good,False,False,2303.0,False,False,,Destacado,flat,standardFlat
396000.0,duplex,140.0,True,5,3,barrio Parque Lisboa - La Paz,Madrid,Alcorcón,40.3540978,-3.8168084,renew,False,True,2829.0,False,False,,,flat,duplex
143000.0,flat,58.0,True,2,1,Calle Allariz,Madrid,Madrid,40.369187,-3.7518551,good,False,False,2466.0,False,False,,,flat,standardFlat
165000.0,flat,68.0,True,3,1,Calle leon,Madrid,Getafe,40.3084003,-3.7213402,good,False,False,2426.0,False,False,,,flat,standardFlat
248000.0,flat,124.0,True,3,2,Tordegrillos,Madrid,Madrid,40.3426361,-3.71767,good,False,True,2000.0,True,False,13500.0,Destacado,flat,standardFlat
198000.0,flat,82.0,False,2,1,barrio Valderas - Los Castillos,Madrid,Alcorcón,40.3587995,-3.8117607,good,False,True,2415.0,False,False,,Destacado,flat,standardFlat
150000.0,flat,57.0,True,2,1,barrio Buena Vista,Madrid,Madrid,40.3711169,-3.7608008,good,False,False,2632.0,False,False,,Destacado,flat,standardFlat
319000.0,flat,160.0,True,4,2,Calle Porto Colón,Madrid,Alcorcón,40.3517709,-3.8190923,renew,False,True,1994.0,False,False,,Destacado,flat,standardFlat
124900.0,flat,65.0,True,3,1,barrio Casco Antiguo,Madrid,Alcorcón,40.3455939,-3.8234326,renew,False,True,1922.0,False,False,,,flat,standardFlat
237000.0,flat,95.0,True,3,2,GALICIA,Madrid,Fuenlabrada,40.2970194,-3.8098483,good,False,True,2495.0,False,False,,Destacado,flat,standardFlat
110500.0,flat,62.0,False,2,1,barrio Buena Vista,Madrid,Madrid,40.3700535,-3.7543134,good,False,False,1782.0,False,False,,,flat,standardFlat
140000.0,flat,58.0,True,1,1,barrio Cuatro Vientos,Madrid,Madrid,40.3719711,-3.7736942,good,False,True,2414.0,True,True,,Destacado,flat,standardFlat
415000.0,chalet,207.0,False,4,3,Calle Covadonga,Madrid,Getafe,40.2927821,-3.7394127,good,False,False,2005.0,True,True,,Destacado,chalet,terracedHouse
217000.0,flat,89.0,True,3,2,Getafe norte,Madrid,Getafe,40.3216189,-3.7151151,renew,False,True,2438.0,True,True,,Destacado,flat,standardFlat
239900.0,flat,90.0,True,3,1,Avenida del Oeste,Madrid,Alcorcón,40.3405334,-3.8259047,good,False,True,2666.0,False,False,,,flat,standardFlat
110000.0,flat,62.0,False,2,1,Calle Gómez de Arteche,Madrid,Madrid,40.3696981,-3.7526237,good,False,False,1774.0,False,False,,,flat,standardFlat
119900.0,flat,62.0,True,3,1,Avenida CIUDADES,Madrid,Getafe,40.3125848,-3.7183679,good,False,False,1934.0,False,False,,,flat,standardFlat
139000.0,flat,76.0,True,3,1,Calle de Húmera,Madrid,Fuenlabrada,40.2888967,-3.7938663,renew,False,True,1829.0,False,False,,Top,flat,standardFlat
219000.0,flat,95.0,True,4,2,Calle Sierra de Alcubierre,Madrid,Alcorcón,40.3457381,-3.8235791,good,False,True,2305.0,False,False,,,flat,standardFlat
144900.0,flat,82.0,True,3,1,Centro,Madrid,Fuenlabrada,40.2864935,-3.7845119,good,False,False,1767.0,False,False,,,flat,standardFlat
116900.0,flat,65.0,False,2,1,Calle Nuestra Señora de la Soledad,Madrid,Madrid,40.3698965,-3.7531992,good,False,False,1798.0,False,False,,,flat,standardFlat
139000.0,flat,72.0,True,3,1,barrio Zona Centro Joven,Madrid,Alcorcón,40.3461424,-3.8233913,good,False,True,1931.0,False,False,,,flat,standardFlat
196000.0,flat,92.0,True,3,1,Calle del Monte,Madrid,Alcorcón,40.3486833,-3.8218172,renew,False,True,2130.0,True,True,,Destacado,flat,standardFlat
165000.0,flat,70.0,True,3,1,Plaza de Cádiz,Madrid,Fuenlabrada,40.2905923,-3.798603,good,False,True,2357.0,False,False,,Destacado,flat,standardFlat
118000.0,flat,67.0,False,3,1,Centro,Madrid,Fuenlabrada,40.2896179,-3.796168,good,False,False,1761.0,False,False,,,flat,standardFlat
138000.0,flat,75.0,False,3,1,barrio Casco Antiguo,Madrid,Alcorcón,40.3428276,-3.8251706,good,False,False,1840.0,False,False,,Destacado,flat,standardFlat
220900.0,flat,89.0,True,3,1,Plaza Torres Bellas,Madrid,Alcorcón,40.3499553,-3.821059,good,False,True,2482.0,False,False,,Destacado,flat,standardFlat
129999.0,flat,80.0,True,3,1,La Avanzada - La Cueva,Madrid,Fuenlabrada,40.2876875,-3.7904251,renew,False,True,1625.0,False,False,,,flat,standardFlat
