,price,propertyType,size,exterior,rooms,bathrooms,address,province,municipality,latitude,longitude,status,newDevelopment,hasLift,parkingSpace,priceByArea,detailedType,highlight
1318,425000.0,chalet,320.0,False,6,4,Monja,Madrid,Galapagar,40.5971757,-3.9826124,good,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",1328.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False
1319,424900.0,flat,92.0,True,3,1,Francisco Navacerrada,Madrid,Madrid,40.4292581,-3.6694566,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",4618.0,{'typology': 'flat'},False
1320,550000.0,flat,152.0,True,4,2,Calle Collado de la Mina,Madrid,Madrid,40.4886274,-3.7174482,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",3618.0,{'typology': 'flat'},False
1321,160000.0,flat,67.0,True,3,1,Calle de Villalobos s/n,Madrid,Madrid,40.3804203,-3.6489277,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",2388.0,{'typology': 'flat'},False
1322,164900.0,flat,97.0,False,3,2,Calle Luis Planelles,Madrid,Valdemoro,40.1898959,-3.6774607,good,False,False,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",1700.0,{'typology': 'flat'},False
1323,193000.0,flat,92.0,True,2,1,Calle Estonia,Madrid,Meco,40.5440735,-3.3371101,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",2098.0,{'typology': 'flat'},False
1324,455000.0,penthouse,90.0,True,2,2,"picasso, 4",Madrid,Pozuelo de Alarcón,40.4099338,-3.7846976,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",5056.0,"{'typology': 'flat', 'subTypology': 'penthouse'}",False
1325,1700000.0,flat,333.0,True,3,3,Paseo de la Castellana,Madrid,Madrid,40.4504034,-3.6919149,renew,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",5105.0,{'typology': 'flat'},False
1326,310000.0,flat,136.0,True,4,2,Juan Genovés,Madrid,Torrejón de Ardoz,40.454377,-3.44973,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",2279.0,{'typology': 'flat'},False
1327,370000.0,flat,105.0,True,3,2,Calle de Valdesangil,Madrid,Madrid,40.4679461,-3.7159696,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",3524.0,{'typology': 'flat'},False
1328,1490000.0,chalet,450.0,False,6,6,CABO MACHICHACO,Madrid,Las Rozas de Madrid,40.5387185,-3.9275432,good,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",3311.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False
1329,849000.0,chalet,800.0,False,12,4,Pino Alto - Navarredonda,Madrid,Valdemorillo,40.4901537,-4.0317785,renew,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",1061.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False
1330,235000.0,chalet,158.0,False,4,2,Ronda de Batres,Madrid,Arganda,40.3043072,-3.4415499,good,False,False,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",1487.0,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",False
1331,135000.0,flat,57.0,True,1,1,Centro,Madrid,Colmenar Viejo,40.6584995,-3.7678056,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",2368.0,{'typology': 'flat'},False
1332,395000.0,flat,67.0,False,1,1,Eloy Gonzalo,Madrid,Madrid,40.434668,-3.7021731,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",5896.0,{'typology': 'flat'},False
1333,2300000.0,chalet,334.0,False,5,6,barrio Ciudad Jardín,Madrid,Madrid,40.4502891,-3.6724122,good,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",6886.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False
1334,699000.0,chalet,450.0,False,5,5,Restón i - Restón Ii,Madrid,Valdemoro,40.175414,-3.6811982,good,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",1553.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",False
1335,169000.0,flat,36.0,True,1,1,barrio Pueblo Nuevo,Madrid,Madrid,40.4371988,-3.639404,good,False,False,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",4694.0,{'typology': 'flat'},False
1336,750000.0,chalet,545.0,False,5,6,Calle faroles,Madrid,Villaviciosa de Odón,40.3667684,-3.8860398,good,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",1376.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False
1337,360000.0,flat,75.0,True,1,1,"Marqués Viudo de Pontejos, 2",Madrid,Madrid,40.4160289,-3.7045629,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",4800.0,{'typology': 'flat'},False
1338,230000.0,flat,59.0,True,2,1,MELCHOR FERNANDEZ ALMAGRO,Madrid,Madrid,40.4778383,-3.7036046,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",3898.0,{'typology': 'flat'},False
1339,1850000.0,penthouse,205.0,True,4,4,Calle de Zurbano,Madrid,Madrid,40.4357589,-3.6920157,renew,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",9024.0,"{'typology': 'flat', 'subTypology': 'penthouse'}",False
1340,245000.0,flat,131.0,True,4,2,Comunidad de Madrid,Madrid,Fuenlabrada,40.275748,-3.7963576,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",1870.0,{'typology': 'flat'},False
1341,167000.0,flat,75.0,True,3,1,Toledo,Madrid,San Fernando de Henares,40.4293378,-3.5355409,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",2227.0,{'typology': 'flat'},False
1342,225000.0,flat,114.0,True,2,1,Avenida de españa,Madrid,Alcobendas,40.54469,-3.629628,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",1974.0,{'typology': 'flat'},False
1343,499999.0,flat,81.0,True,3,1,"mejico, 6",Madrid,Madrid,40.435675,-3.674625,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",6173.0,{'typology': 'flat'},False
1344,590000.0,flat,190.0,True,3,2,Calle del Galeón,Madrid,Madrid,40.4525566,-3.5862781,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",3105.0,{'typology': 'flat'},False
1345,299000.0,flat,60.0,True,2,1,Calle de Bocángel,Madrid,Madrid,40.4264436,-3.6633494,renew,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",4983.0,{'typology': 'flat'},False
1346,164485.0,flat,76.0,True,2,2,Calle concordia,Madrid,Móstoles,40.3272722,-3.8582095,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",2164.0,{'typology': 'flat'},False
1347,585000.0,chalet,302.0,False,9,4,Los Molinos,Madrid,Los Molinos,40.7047883,-4.0721797,renew,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",1937.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False
1348,185000.0,flat,70.0,True,2,2,"Calle Radio Utopía, 36",Madrid,San Sebastián de los Reyes,40.5450693,-3.625666,good,False,False,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",2643.0,{'typology': 'flat'},False
1349,157000.0,flat,88.0,True,3,2,Velilla de San Antonio,Madrid,Velilla de San Antonio,40.368337,-3.4890941,good,False,False,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",1784.0,{'typology': 'flat'},False
